#Step   Etot   PotE Ktot  T
447 -0.497055 -1.913029  1.415974 1.42
448 -0.489002 -1.903323  1.414321 1.41
449 -0.480878 -1.893909  1.413031 1.41
450 -0.472687 -1.885097  1.412411 1.41
451 -0.464427 -1.877104  1.412677 1.41
452 -0.456094 -1.870008  1.413914 1.41
453 -0.447682 -1.863731  1.416049 1.42
454 -0.439185 -1.858047  1.418862 1.42
455 -0.430597 -1.852608  1.422011 1.42
456 -0.421913 -1.846990  1.425078 1.43
457 -0.413129 -1.840751  1.427622 1.43
458 -0.404242 -1.833505  1.429263 1.43
459 -0.395249 -1.825029  1.429780 1.43
460 -0.386149 -1.815390  1.429241 1.43
461 -0.376943 -1.805070  1.428127 1.43
462 -0.367636 -1.795035  1.427399 1.43
463 -0.358240 -1.786681  1.428442 1.43
464 -0.348768 -1.781615  1.432848 1.43
465 -0.339226 -1.781282  1.442056 1.44
466 -0.329604 -1.786570  1.456966 1.46
467 -0.319870 -1.797529  1.477659 1.48
468 -0.309975 -1.813349  1.503374 1.50
469 -0.299868 -1.832576  1.532708 1.53
470 -0.289512 -1.853478  1.563966 1.56
471 -0.278890 -1.874384  1.595494 1.60
472 -0.268008 -1.893909  1.625900 1.63
473 -0.256889 -1.911029  1.654140 1.65
474 -0.245566 -1.925058  1.679492 1.68
475 -0.234074 -1.935567  1.701493 1.70
476 -0.222451 -1.942318  1.719867 1.72
477 -0.210730 -1.945207  1.734477 1.73
478 -0.198945 -1.944243  1.745298 1.75
479 -0.187126 -1.939541  1.752415 1.75
480 -0.175300 -1.931333  1.756034 1.76
481 -0.163489 -1.919989  1.756500 1.76
482 -0.151713 -1.906046  1.754333 1.75
483 -0.139987 -1.890240  1.750253 1.75
484 -0.128322 -1.873520  1.745199 1.75
485 -0.116725 -1.857034  1.740309 1.74
486 -0.105202 -1.842056  1.736854 1.74
487 -0.093752 -1.829863  1.736111 1.74
488 -0.082370 -1.821560  1.739189 1.74
489 -0.071042 -1.817894  1.746852 1.75
490 -0.059746 -1.819111  1.759365 1.76
491 -0.048452 -1.824895  1.776443 1.78
492 -0.037132 -1.834413  1.797281 1.80
493 -0.025758 -1.846452  1.820693 1.82
494 -0.014315 -1.859607  1.845292 1.85
495 -0.002798 -1.872479  1.869681 1.87
496 0.008781 -1.883824  1.892605 1.89
497 0.020403 -1.892645  1.913047 1.91
498 0.032035 -1.898216  1.930251 1.93
499 0.043644 -1.900065  1.943709 1.94
500 0.055194 -1.897922  1.953116 1.95
501 0.066655 -1.891675  1.958330 1.96
502 0.077997 -1.881351  1.959348 1.96
503 0.089198 -1.867119  1.956318 1.96
504 0.100242 -1.849332  1.949574 1.95
505 0.111116 -1.828582  1.939698 1.94
506 0.121810 -1.805760  1.927571 1.93
507 0.132317 -1.782067  1.914385 1.91
508 0.142629 -1.758957  1.901585 1.90
509 0.152736 -1.737958  1.890694 1.89
510 0.162632 -1.720396  1.883029 1.88
511 0.172322 -1.707053  1.879375 1.88
512 0.181820 -1.697899  1.879719 1.88
513 0.191158 -1.691998  1.883156 1.88
514 0.200376 -1.687671  1.888047 1.89
515 0.209512 -1.682882  1.892394 1.89
516 0.218596 -1.675756  1.894352 1.89
517 0.227644 -1.665101  1.892745 1.89
518 0.236654 -1.650834  1.887488 1.89
519 0.245604 -1.634182  1.879786 1.88
520 0.254450 -1.617537  1.871987 1.87
521 0.263133 -1.603881  1.867014 1.87
522 0.271607 -1.595855  1.867461 1.87
523 0.279868 -1.594853  1.874721 1.87
524 0.287964 -1.600612  1.888577 1.89
525 0.295971 -1.611506  1.907477 1.91
526 0.303953 -1.625319  1.929272 1.93
527 0.311939 -1.640037  1.951976 1.95
528 0.319924 -1.654325  1.974249 1.97
529 0.327883 -1.667659  1.995542 2.00
530 0.335783 -1.680216  2.015998 2.02
531 0.343588 -1.692659  2.036247 2.04
532 0.351266 -1.705884  2.057150 2.06
533 0.358786 -1.720736  2.079522 2.08
534 0.366126 -1.737749  2.103875 2.10
535 0.373270 -1.756959  2.130229 2.13
536 0.380210 -1.777835  2.158044 2.16
537 0.386936 -1.799338  2.186274 2.19
538 0.393438 -1.820050  2.213488 2.21
539 0.399696 -1.838318  2.238015 2.24
540 0.405690 -1.852389  2.258079 2.26
541 0.411397 -1.860535  2.271932 2.27
542 0.416795 -1.861189  2.277984 2.28
543 0.421866 -1.853075  2.274940 2.27
544 0.426599 -1.835338  2.261937 2.26
545 0.430994 -1.807687  2.238681 2.24
546 0.435060 -1.770540  2.205599 2.21
547 0.438815 -1.725182  2.163997 2.16
548 0.442285 -1.673895  2.116180 2.12
549 0.445494 -1.620006  2.065500 2.07
550 0.448458 -1.567776  2.016234 2.02
551 0.451173 -1.522054  1.973226 1.97
552 0.453603 -1.487553  1.941155 1.94
553 0.455698 -1.467717  1.923415 1.92
554 0.457449 -1.463490  1.920938 1.92
555 0.458921 -1.472783  1.931703 1.93
556 0.460230 -1.491203  1.951434 1.95
557 0.461471 -1.513670  1.975142 1.98
558 0.462671 -1.535900  1.998570 2.00
559 0.463800 -1.555089  2.018889 2.02
560 0.464811 -1.569846  2.034658 2.03
561 0.465663 -1.579787  2.045450 2.05
562 0.466329 -1.585137  2.051466 2.05
563 0.466798 -1.586494  2.053292 2.05
564 0.467066 -1.584728  2.051795 2.05
565 0.467136 -1.580952  2.048088 2.05
566 0.467006 -1.576500  2.043506 2.04
567 0.466669 -1.572853  2.039523 2.04
568 0.466116 -1.571489  2.037605 2.04
569 0.465329 -1.573653  2.038982 2.04
570 0.464292 -1.580100  2.044392 2.04
571 0.462991 -1.590869  2.053860 2.05
572 0.461421 -1.605174  2.066595 2.07
573 0.459585 -1.621460  2.081045 2.08
574 0.457493 -1.637620  2.095113 2.10
575 0.455155 -1.651316  2.106472 2.11
576 0.452584 -1.660304  2.112888 2.11
577 0.449788 -1.662700  2.112487 2.11
578 0.446783 -1.657157  2.103940 2.10
579 0.443596 -1.642992  2.086588 2.09
580 0.440270 -1.620337  2.060608 2.06
581 0.436864 -1.590417  2.027281 2.03
582 0.433427 -1.555868  1.989295 1.99
583 0.429963 -1.520846  1.950809 1.95
584 0.426404 -1.490455  1.916858 1.92
585 0.422649 -1.469342  1.891991 1.89
586 0.418639 -1.460047  1.878686 1.88
587 0.414400 -1.462191  1.876590 1.88
588 0.410011 -1.473077  1.883087 1.88
