#Step   Etot   PotE Ktot  T
379 -0.994588 -2.144894  1.150306 1.15
380 -0.994588 -2.142841  1.148253 1.15
381 -0.994593 -2.140555  1.145963 1.15
382 -0.994601 -2.137986  1.143385 1.14
383 -0.994612 -2.135029  1.140417 1.14
384 -0.994623 -2.131545  1.136922 1.14
385 -0.994632 -2.127394  1.132762 1.13
386 -0.994638 -2.122462  1.127824 1.13
387 -0.994639 -2.116690  1.122051 1.12
388 -0.994636 -2.110085  1.115449 1.12
389 -0.994629 -2.102727  1.108098 1.11
390 -0.994618 -2.094760  1.100142 1.10
391 -0.994606 -2.086383  1.091777 1.09
392 -0.994592 -2.077825  1.083233 1.08
393 -0.994579 -2.069335  1.074756 1.07
394 -0.994565 -2.061161  1.066596 1.07
395 -0.994552 -2.053552  1.058999 1.06
396 -0.994539 -2.046745  1.052206 1.05
397 -0.994527 -2.040973  1.046447 1.05
398 -0.994516 -2.036450  1.041933 1.04
399 -0.994508 -2.033355  1.038847 1.04
400 -0.994506 -2.031813  1.037307 1.04
401 -0.994510 -2.031859  1.037349 1.04
402 -0.994521 -2.033422  1.038901 1.04
403 -0.994538 -2.036315  1.041777 1.04
404 -0.994559 -2.040255  1.045696 1.05
405 -0.994581 -2.044891  1.050310 1.05
406 -0.994601 -2.049851  1.055250 1.06
407 -0.994618 -2.054785  1.060167 1.06
408 -0.994630 -2.059393  1.064763 1.06
409 -0.994637 -2.063448  1.068811 1.07
410 -0.994638 -2.066802  1.072164 1.07
411 -0.994635 -2.069393  1.074758 1.07
412 -0.994628 -2.071230  1.076602 1.08
413 -0.994617 -2.072396  1.077779 1.08
414 -0.994602 -2.073037  1.078435 1.08
415 -0.994585 -2.073354  1.078768 1.08
416 -0.994567 -2.073588  1.079022 1.08
417 -0.994548 -2.074013  1.079465 1.08
418 -0.994530 -2.074906  1.080376 1.08
419 -0.994515 -2.076530  1.082015 1.08
420 -0.994504 -2.079107  1.084603 1.08
421 -0.994498 -2.082793  1.088295 1.09
422 -0.994499 -2.087664  1.093165 1.09
423 -0.994505 -2.093700  1.099195 1.10
424 -0.994516 -2.100794  1.106278 1.11
425 -0.994532 -2.108757  1.114225 1.11
426 -0.994550 -2.117335  1.122785 1.12
427 -0.994569 -2.126233  1.131664 1.13
428 -0.994589 -2.135135  1.140547 1.14
429 -0.994607 -2.143726  1.149119 1.15
430 -0.994624 -2.151705  1.157081 1.16
431 -0.994638 -2.158804  1.164166 1.16
432 -0.994650 -2.164792  1.170143 1.17
433 -0.994658 -2.169485  1.174827 1.17
434 -0.994663 -2.172751  1.178087 1.18
435 -0.994665 -2.174514  1.179850 1.18
436 -0.994663 -2.174763  1.180101 1.18
437 -0.994656 -2.173549  1.178893 1.18
438 -0.994646 -2.170992  1.176346 1.18
439 -0.994631 -2.167278  1.172647 1.17
440 -0.994613 -2.162656  1.168043 1.17
441 -0.994592 -2.157434  1.162842 1.16
442 -0.994569 -2.151964  1.157395 1.16
443 -0.994546 -2.146627  1.152082 1.15
444 -0.994523 -2.141808  1.147285 1.15
445 -0.994504 -2.137869  1.143364 1.14
446 -0.994491 -2.135112  1.140621 1.14
447 -0.994485 -2.133754  1.139270 1.14
448 -0.994486 -2.133896  1.139411 1.14
449 -0.994494 -2.135519  1.141025 1.14
450 -0.994509 -2.138486  1.143977 1.14
451 -0.994528 -2.142561  1.148034 1.15
452 -0.994548 -2.147445  1.152897 1.15
453 -0.994569 -2.152800  1.158231 1.16
454 -0.994588 -2.158282  1.163694 1.16
455 -0.994606 -2.163568  1.168962 1.17
456 -0.994621 -2.168363  1.173742 1.17
457 -0.994634 -2.172415  1.177781 1.18
458 -0.994645 -2.175509  1.180864 1.18
459 -0.994654 -2.177464  1.182810 1.18
460 -0.994663 -2.178130  1.183466 1.18
461 -0.994672 -2.177376  1.182704 1.18
462 -0.994679 -2.175093  1.180413 1.18
463 -0.994686 -2.171191  1.176505 1.18
464 -0.994691 -2.165611  1.170921 1.17
465 -0.994691 -2.158339  1.163647 1.16
466 -0.994687 -2.149422  1.154735 1.15
467 -0.994677 -2.138995  1.144318 1.14
468 -0.994659 -2.127293  1.132635 1.13
469 -0.994634 -2.114666  1.120032 1.12
470 -0.994604 -2.101561  1.106958 1.11
471 -0.994571 -2.088505  1.093933 1.09
472 -0.994541 -2.076045  1.081504 1.08
473 -0.994516 -2.064699  1.070183 1.07
474 -0.994499 -2.054891  1.060392 1.06
475 -0.994493 -2.046907  1.052414 1.05
476 -0.994495 -2.040879  1.046384 1.05
477 -0.994504 -2.036796  1.042293 1.04
478 -0.994516 -2.034535  1.040019 1.04
479 -0.994530 -2.033905  1.039375 1.04
480 -0.994543 -2.034692  1.040149 1.04
481 -0.994553 -2.036691  1.042139 1.04
482 -0.994560 -2.039729  1.045170 1.05
483 -0.994564 -2.043673  1.049109 1.05
484 -0.994565 -2.048429  1.053864 1.05
485 -0.994565 -2.053943  1.059378 1.06
486 -0.994563 -2.060187  1.065624 1.07
487 -0.994561 -2.067153  1.072592 1.07
488 -0.994559 -2.074838  1.080279 1.08
489 -0.994558 -2.083231  1.088672 1.09
490 -0.994560 -2.092299  1.097739 1.10
491 -0.994564 -2.101976  1.107411 1.11
492 -0.994572 -2.112153  1.117581 1.12
493 -0.994581 -2.122677  1.128096 1.13
494 -0.994593 -2.133355  1.138762 1.14
495 -0.994606 -2.143963  1.149357 1.15
496 -0.994618 -2.154261  1.159643 1.16
497 -0.994630 -2.164013  1.169383 1.17
498 -0.994639 -2.173000  1.178361 1.18
499 -0.994646 -2.181035  1.186388 1.19
500 -0.994651 -2.187968  1.193317 1.19
501 -0.994653 -2.193693  1.199040 1.20
502 -0.994653 -2.198143  1.203489 1.20
503 -0.994652 -2.201284  1.206632 1.21
504 -0.994651 -2.203109  1.208458 1.21
505 -0.994649 -2.203628  1.208978 1.21
506 -0.994648 -2.202859  1.208211 1.21
507 -0.994647 -2.200827  1.206180 1.21
508 -0.994646 -2.197562  1.202916 1.20
509 -0.994645 -2.193104  1.198459 1.20
510 -0.994641 -2.187512  1.192870 1.19
511 -0.994634 -2.180884  1.186250 1.19
512 -0.994623 -2.173376  1.178753 1.18
513 -0.994605 -2.165220  1.170615 1.17
514 -0.994582 -2.156735  1.162153 1.16
515 -0.994554 -2.148324  1.153771 1.15
516 -0.994525 -2.140449  1.145924 1.15
517 -0.994499 -2.133579  1.139080 1.14
518 -0.994480 -2.128128  1.133649 1.13
519 -0.994471 -2.124399  1.129928 1.13
520 -0.994472 -2.122530  1.128057 1.13
521 -0.994483 -2.122495  1.128012 1.13
522 -0.994498 -2.124125  1.129627 1.13
523 -0.994515 -2.127161  1.132646 1.13
524 -0.994531 -2.131306  1.136775 1.14
525 -0.994543 -2.136277  1.141734 1.14
526 -0.994553 -2.141827  1.147274 1.15
527 -0.994560 -2.147753  1.153193 1.15
528 -0.994566 -2.153884  1.159317 1.16
529 -0.994572 -2.160069  1.165497 1.17
530 -0.994579 -2.166162  1.171582 1.17
531 -0.994587 -2.172008  1.177421 1.18
532 -0.994596 -2.177445  1.182848 1.18
533 -0.994606 -2.182300  1.187694 1.19
534 -0.994615 -2.186401  1.191785 1.19
535 -0.994624 -2.189581  1.194957 1.19
536 -0.994633 -2.191688  1.197056 1.20
537 -0.994640 -2.192591  1.197951 1.20
538 -0.994645 -2.192180  1.197535 1.20
539 -0.994649 -2.190376  1.195726 1.20
540 -0.994653 -2.187122  1.192470 1.19
541 -0.994655 -2.182390  1.187735 1.19
542 -0.994656 -2.176171  1.181515 1.18
543 -0.994656 -2.168476  1.173820 1.17
544 -0.994655 -2.159339  1.164683 1.16
545 -0.994654 -2.148810  1.154157 1.15
546 -0.994650 -2.136967  1.142317 1.14
547 -0.994645 -2.123909  1.129263 1.13
548 -0.994638 -2.109765  1.115127 1.12
549 -0.994630 -2.094699  1.100069 1.10
550 -0.994619 -2.078901  1.084282 1.08
551 -0.994607 -2.062594  1.067987 1.07
552 -0.994593 -2.046025  1.051432 1.05
