#Step   Etot   PotE Ktot  T
449 -0.413248 -1.962563  1.549314 1.55
450 -0.413187 -1.948787  1.535600 1.54
451 -0.413121 -1.936716  1.523595 1.52
452 -0.413071 -1.927491  1.514419 1.51
453 -0.413059 -1.921977  1.508918 1.51
454 -0.413098 -1.920442  1.507344 1.51
455 -0.413186 -1.922360  1.509174 1.51
456 -0.413305 -1.926458  1.513153 1.51
457 -0.413428 -1.930984  1.517556 1.52
458 -0.413534 -1.934094  1.520560 1.52
459 -0.413605 -1.934201  1.520596 1.52
460 -0.413635 -1.930230  1.516595 1.52
461 -0.286716 -1.921033  1.634318 1.63
462 -0.286657 -1.906674  1.620017 1.62
463 -0.286562 -1.888116  1.601554 1.60
464 -0.286444 -1.866896  1.580452 1.58
465 -0.286323 -1.844908  1.558585 1.56
466 -0.286220 -1.824103  1.537884 1.54
467 -0.286151 -1.806171  1.520020 1.52
468 -0.286125 -1.792273  1.506149 1.51
469 -0.286138 -1.782929  1.496792 1.50
470 -0.286178 -1.778050  1.491873 1.49
471 -0.286228 -1.777120  1.490892 1.49
472 -0.286274 -1.779429  1.493155 1.49
473 -0.286302 -1.784315  1.498012 1.50
474 -0.286306 -1.791340  1.505033 1.51
475 -0.286288 -1.800393  1.514105 1.51
476 -0.286258 -1.811662  1.525405 1.53
477 -0.286234 -1.825466  1.539231 1.54
478 -0.286237 -1.841984  1.555747 1.56
479 -0.286277 -1.860983  1.574706 1.57
480 -0.286349 -1.881671  1.595322 1.60
481 -0.238259 -1.902949  1.664690 1.66
482 -0.238341 -1.922845  1.684504 1.68
483 -0.238400 -1.939920  1.701520 1.70
484 -0.238429 -1.953083  1.714654 1.71
485 -0.238427 -1.961726  1.723299 1.72
486 -0.238396 -1.965751  1.727355 1.73
487 -0.238342 -1.965531  1.727189 1.73
488 -0.238270 -1.961832  1.723562 1.72
489 -0.238187 -1.955723  1.717536 1.72
490 -0.238103 -1.948456  1.710353 1.71
491 -0.238027 -1.941323  1.703296 1.70
492 -0.237972 -1.935485  1.697513 1.70
493 -0.237943 -1.931808  1.693864 1.69
494 -0.237945 -1.930740  1.692795 1.69
495 -0.237974 -1.932272  1.694299 1.69
496 -0.238021 -1.935987  1.697965 1.70
497 -0.238078 -1.941167  1.703089 1.70
498 -0.238137 -1.946937  1.708800 1.71
499 -0.238194 -1.952373  1.714178 1.71
500 -0.238247 -1.956580  1.718333 1.72
501 -0.313127 -1.958851  1.645724 1.65
502 -0.313169 -1.958719  1.645550 1.65
503 -0.313204 -1.955558  1.642354 1.64
504 -0.313229 -1.948872  1.635643 1.64
505 -0.313240 -1.938341  1.625101 1.63
506 -0.313234 -1.923879  1.610645 1.61
507 -0.313209 -1.905682  1.592473 1.59
508 -0.313165 -1.884253  1.571087 1.57
509 -0.313107 -1.860388  1.547282 1.55
510 -0.313040 -1.835117  1.522077 1.52
511 -0.312972 -1.809598  1.496626 1.50
512 -0.312908 -1.785006  1.472098 1.47
513 -0.312851 -1.762443  1.449592 1.45
514 -0.312799 -1.742904  1.430105 1.43
515 -0.312749 -1.727283  1.414533 1.41
516 -0.312700 -1.716406  1.403705 1.40
517 -0.312658 -1.711031  1.398374 1.40
518 -0.312628 -1.711783  1.399154 1.40
519 -0.312621 -1.719033  1.406411 1.41
520 -0.312642 -1.732778  1.420136 1.42
521 -0.089323 -1.753415  1.664092 1.66
522 -0.089387 -1.778368  1.688982 1.69
523 -0.089460 -1.806473  1.717014 1.72
524 -0.089533 -1.836406  1.746873 1.75
525 -0.089600 -1.866828  1.777229 1.78
526 -0.089655 -1.896504  1.806849 1.81
527 -0.089698 -1.924362  1.834664 1.83
528 -0.089729 -1.949533  1.859804 1.86
529 -0.089749 -1.971348  1.881599 1.88
530 -0.089759 -1.989332  1.899572 1.90
531 -0.089761 -2.003187  1.913426 1.91
532 -0.089756 -2.012774  1.923019 1.92
533 -0.089745 -2.018090  1.928345 1.93
534 -0.089731 -2.019238  1.929507 1.93
535 -0.089716 -2.016403  1.926687 1.93
536 -0.089700 -2.009821  1.920121 1.92
537 -0.089686 -1.999752  1.910065 1.91
538 -0.089675 -1.986457  1.896782 1.90
539 -0.089667 -1.970185  1.880518 1.88
540 -0.089660 -1.951164  1.861504 1.86
541 -0.307656 -1.931296  1.623640 1.62
542 -0.307648 -1.910042  1.602394 1.60
543 -0.307638 -1.887645  1.580007 1.58
544 -0.307627 -1.864375  1.556748 1.56
545 -0.307611 -1.840539  1.532927 1.53
546 -0.307592 -1.816497  1.508904 1.51
547 -0.307570 -1.792661  1.485091 1.49
548 -0.307545 -1.769493  1.461948 1.46
549 -0.307518 -1.747491  1.439972 1.44
550 -0.307491 -1.727171  1.419680 1.42
551 -0.307464 -1.709053  1.401589 1.40
552 -0.307440 -1.693631  1.386192 1.39
553 -0.307418 -1.681359  1.373941 1.37
554 -0.307401 -1.672625  1.365224 1.37
555 -0.307389 -1.667734  1.360345 1.36
556 -0.307384 -1.666890  1.359506 1.36
557 -0.307389 -1.670164  1.362775 1.36
558 -0.307406 -1.677466  1.370060 1.37
559 -0.307435 -1.688513  1.381078 1.38
560 -0.307477 -1.702816  1.395339 1.40
561 -0.059371 -1.720434  1.661062 1.66
562 -0.059432 -1.738556  1.679125 1.68
563 -0.059493 -1.756217  1.696724 1.70
564 -0.059549 -1.772447  1.712898 1.71
565 -0.059597 -1.786358  1.726761 1.73
566 -0.059631 -1.797214  1.737584 1.74
567 -0.059647 -1.804506  1.744859 1.74
568 -0.059643 -1.808006  1.748364 1.75
569 -0.059618 -1.807807  1.748189 1.75
570 -0.059575 -1.804321  1.744746 1.74
571 -0.059522 -1.798238  1.738716 1.74
572 -0.059465 -1.790424  1.730959 1.73
573 -0.059415 -1.781786  1.722371 1.72
574 -0.059379 -1.773137  1.713757 1.71
575 -0.059360 -1.765081  1.705721 1.71
576 -0.059356 -1.757975  1.698619 1.70
577 -0.059363 -1.751941  1.692578 1.69
578 -0.059376 -1.746927  1.687551 1.69
579 -0.059391 -1.742770  1.683379 1.68
580 -0.059406 -1.739263  1.679857 1.68
581 -0.095774 -1.736327  1.640553 1.64
582 -0.095780 -1.733858  1.638078 1.64
583 -0.095780 -1.731758  1.635978 1.64
584 -0.095774 -1.730020  1.634246 1.63
585 -0.095766 -1.728718  1.632952 1.63
586 -0.095760 -1.727968  1.632208 1.63
587 -0.095761 -1.727859  1.632098 1.63
588 -0.095772 -1.728391  1.632619 1.63
589 -0.095791 -1.729442  1.633651 1.63
590 -0.095812 -1.730795  1.634983 1.63
591 -0.095824 -1.732229  1.636406 1.64
592 -0.095816 -1.733668  1.637852 1.64
593 -0.095783 -1.735325  1.639542 1.64
594 -0.095726 -1.737785  1.642059 1.64
595 -0.095660 -1.741947  1.646286 1.65
596 -0.095608 -1.748803  1.653195 1.65
597 -0.095589 -1.759109  1.663520 1.66
598 -0.095613 -1.773088  1.677475 1.68
599 -0.095672 -1.790303  1.694631 1.69
600 -0.095750 -1.809760  1.714011 1.71
601 -0.166337 -1.829926  1.663588 1.66
602 -0.166404 -1.850070  1.683666 1.68
603 -0.166453 -1.869010  1.702557 1.70
604 -0.166485 -1.885806  1.719321 1.72
