#Step   Etot   PotE Ktot  T
298 -0.994656 -2.179152  1.184496 1.18
299 -0.994653 -2.173695  1.179042 1.18
300 -0.994645 -2.167159  1.172514 1.17
301 -0.994629 -2.159743  1.165114 1.17
302 -0.994605 -2.151759  1.157154 1.16
303 -0.994573 -2.143637  1.149064 1.15
304 -0.994536 -2.135918  1.141382 1.14
305 -0.994498 -2.129209  1.134710 1.13
306 -0.994467 -2.124105  1.129638 1.13
307 -0.994448 -2.121093  1.126645 1.13
308 -0.994446 -2.120458  1.126011 1.13
309 -0.994461 -2.122223  1.127762 1.13
310 -0.994489 -2.126151  1.131662 1.13
311 -0.994525 -2.131790  1.137265 1.14
312 -0.994563 -2.138559  1.143996 1.14
313 -0.994598 -2.145832  1.151235 1.15
314 -0.994627 -2.153022  1.158396 1.16
315 -0.994648 -2.159628  1.164980 1.16
316 -0.994661 -2.165271  1.170610 1.17
317 -0.994664 -2.169705  1.175040 1.18
318 -0.994660 -2.172824  1.178164 1.18
319 -0.994647 -2.174661  1.180014 1.18
320 -0.994628 -2.175377  1.180750 1.18
321 -0.994602 -2.175248  1.180646 1.18
322 -0.994573 -2.174644  1.180071 1.18
323 -0.994542 -2.173995  1.179453 1.18
324 -0.994513 -2.173752  1.179239 1.18
325 -0.994489 -2.174343  1.179854 1.18
326 -0.994471 -2.176127  1.181656 1.18
327 -0.994461 -2.179362  1.184902 1.18
328 -0.994459 -2.184182  1.189723 1.19
329 -0.994465 -2.190590  1.196125 1.20
330 -0.994477 -2.198466  1.203989 1.20
331 -0.994494 -2.207588  1.213093 1.21
332 -0.994514 -2.217658  1.223144 1.22
333 -0.994534 -2.228336  1.233802 1.23
334 -0.994554 -2.239262  1.244708 1.24
335 -0.994571 -2.250087  1.255516 1.26
336 -0.994586 -2.260486  1.265900 1.27
337 -0.994598 -2.270175  1.275577 1.28
338 -0.994607 -2.278912  1.284305 1.28
339 -0.994614 -2.286501  1.291887 1.29
340 -0.994619 -2.292789  1.298170 1.30
341 -0.994621 -2.297660  1.303039 1.30
342 -0.994623 -2.301034  1.306411 1.31
343 -0.994622 -2.302859  1.308236 1.31
344 -0.994621 -2.303111  1.308490 1.31
345 -0.994618 -2.301794  1.307175 1.31
346 -0.994614 -2.298936  1.304322 1.30
347 -0.994608 -2.294596  1.299988 1.30
348 -0.994601 -2.288857  1.294255 1.29
349 -0.994593 -2.281830  1.287237 1.29
350 -0.994583 -2.273652  1.279069 1.28
351 -0.994572 -2.264485  1.269913 1.27
352 -0.994561 -2.254506  1.259945 1.26
353 -0.994549 -2.243907  1.249358 1.25
354 -0.994538 -2.232884  1.238346 1.24
355 -0.994527 -2.221631  1.227104 1.23
356 -0.994518 -2.210335  1.215818 1.22
357 -0.994509 -2.199167  1.204658 1.20
358 -0.994503 -2.188276  1.193773 1.19
359 -0.994498 -2.177788  1.183290 1.18
360 -0.994495 -2.167800  1.173305 1.17
361 -0.994494 -2.158382  1.163888 1.16
362 -0.994495 -2.149574  1.155079 1.16
363 -0.994497 -2.141391  1.146894 1.15
364 -0.994500 -2.133828  1.139328 1.14
365 -0.994504 -2.126861  1.132357 1.13
366 -0.994508 -2.120460  1.125952 1.13
367 -0.994511 -2.114593  1.120082 1.12
368 -0.994514 -2.109233  1.114720 1.11
369 -0.994515 -2.104365  1.109850 1.11
370 -0.994516 -2.099985  1.105469 1.11
371 -0.994516 -2.096102  1.101586 1.10
372 -0.994516 -2.092733  1.098217 1.10
373 -0.994517 -2.089893  1.095376 1.10
374 -0.994519 -2.087591  1.093072 1.09
375 -0.994522 -2.085814  1.091292 1.09
376 -0.994528 -2.084529  1.090001 1.09
377 -0.994535 -2.083670  1.089135 1.09
378 -0.994544 -2.083146  1.088602 1.09
379 -0.994554 -2.082840  1.088286 1.09
380 -0.994564 -2.082621  1.088057 1.09
381 -0.994574 -2.082356  1.087782 1.09
382 -0.994582 -2.081915  1.087333 1.09
383 -0.994589 -2.081192  1.086603 1.09
384 -0.994593 -2.080102  1.085509 1.09
385 -0.994596 -2.078595  1.083999 1.08
386 -0.994596 -2.076653  1.082057 1.08
387 -0.994594 -2.074292  1.079697 1.08
388 -0.994591 -2.071553  1.076962 1.08
389 -0.994587 -2.068503  1.073916 1.07
390 -0.994582 -2.065224  1.070642 1.07
391 -0.994577 -2.061811  1.067234 1.07
392 -0.994571 -2.058361  1.063790 1.06
393 -0.994566 -2.054974  1.060407 1.06
394 -0.994562 -2.051742  1.057180 1.06
395 -0.994558 -2.048756  1.054198 1.05
396 -0.994553 -2.046097  1.051544 1.05
397 -0.994549 -2.043847  1.049298 1.05
398 -0.994544 -2.042086  1.047542 1.05
399 -0.994538 -2.040902  1.046364 1.05
400 -0.994532 -2.040388  1.045856 1.05
401 -0.994526 -2.040637  1.046111 1.05
402 -0.994521 -2.041734  1.047213 1.05
403 -0.994519 -2.043737  1.049218 1.05
404 -0.994521 -2.046654  1.052133 1.05
405 -0.994527 -2.050434  1.055907 1.06
406 -0.994537 -2.054957  1.060420 1.06
407 -0.994551 -2.060039  1.065488 1.07
408 -0.994566 -2.065445  1.070879 1.07
409 -0.994582 -2.070915  1.076333 1.08
410 -0.994597 -2.076179  1.081583 1.08
411 -0.994610 -2.080984  1.086374 1.09
412 -0.994621 -2.085100  1.090479 1.09
413 -0.994630 -2.088333  1.093703 1.09
414 -0.994637 -2.090532  1.095895 1.10
415 -0.994640 -2.091592  1.096951 1.10
416 -0.994640 -2.091459  1.096819 1.10
417 -0.994637 -2.090141  1.095504 1.10
