#Step   Etot   PotE Ktot  T
267 -0.067965 -1.719249  1.651284 1.65
268 -0.075785 -1.730011  1.654227 1.65
269 -0.086547 -1.743159  1.656613 1.66
270 -0.099693 -1.758128  1.658434 1.66
271 -0.114659 -1.774376  1.659717 1.66
272 -0.130905 -1.791404  1.660499 1.66
273 -0.147932 -1.808746  1.660814 1.66
274 -0.165274 -1.825956  1.660682 1.66
275 -0.182484 -1.842599  1.660115 1.66
276 -0.199126 -1.858255  1.659129 1.66
277 -0.214777 -1.872539  1.657762 1.66
278 -0.229053 -1.885142  1.656089 1.66
279 -0.241646 -1.895873  1.654227 1.65
280 -0.252366 -1.904687  1.652321 1.65
281 -0.261170 -1.911695  1.650524 1.65
282 -0.268173 -1.917136  1.648963 1.65
283 -0.273613 -1.921326  1.647713 1.65
284 -0.277805 -1.924590  1.646784 1.65
285 -0.281075 -1.927206  1.646132 1.65
286 -0.283698 -1.929368  1.645670 1.65
287 -0.285865 -1.931168  1.645303 1.65
288 -0.287671 -1.932608  1.644937 1.64
289 -0.289115 -1.933605  1.644489 1.64
290 -0.290116 -1.934007  1.643891 1.64
291 -0.290521 -1.933605  1.643084 1.64
292 -0.290121 -1.932150  1.642029 1.64
293 -0.288665 -1.929376  1.640712 1.64
294 -0.285887 -1.925037  1.639149 1.64
295 -0.281542 -1.918941  1.637399 1.64
296 -0.275438 -1.910992  1.635554 1.64
297 -0.267479 -1.901215  1.633735 1.63
298 -0.257694 -1.889773  1.632079 1.63
299 -0.246245 -1.876962  1.630716 1.63
300 -0.233430 -1.863182  1.629752 1.63
301 -0.219651 -1.848894  1.629243 1.63
302 -0.205368 -1.834558  1.629190 1.63
303 -0.191039 -1.820569  1.629530 1.63
304 -0.177060 -1.807213  1.630153 1.63
305 -0.163713 -1.794638  1.630925 1.63
306 -0.151144 -1.782865  1.631721 1.63
307 -0.139373 -1.771823  1.632450 1.63
308 -0.128328 -1.761413  1.633085 1.63
309 -0.117911 -1.751575  1.633664 1.63
310 -0.108063 -1.742355  1.634292 1.63
311 -0.098832 -1.733942  1.635110 1.64
312 -0.090412 -1.726676  1.636264 1.64
313 -0.083143 -1.720999  1.637855 1.64
314 -0.077471 -1.717377  1.639905 1.64
315 -0.073862 -1.716190  1.642328 1.64
316 -0.072693 -1.717629  1.644936 1.64
317 -0.074151 -1.721621  1.647470 1.65
318 -0.078159 -1.727810  1.649651 1.65
319 -0.084359 -1.735595  1.651236 1.65
320 -0.092150 -1.744211  1.652062 1.65
321 -0.100765 -1.752829  1.652065 1.65
322 -0.109376 -1.760650  1.651274 1.65
323 -0.117187 -1.766983  1.649796 1.65
324 -0.123508 -1.771290  1.647782 1.65
325 -0.127803 -1.773215  1.645413 1.65
326 -0.129715 -1.772596  1.642881 1.64
327 -0.129083 -1.769466  1.640384 1.64
328 -0.125939 -1.764060  1.638121 1.64
329 -0.120520 -1.756816  1.636296 1.64
330 -0.113264 -1.748368  1.635104 1.64
331 -0.104808 -1.739525  1.634718 1.63
332 -0.095961 -1.731224  1.635263 1.64
333 -0.087663 -1.724454  1.636790 1.64
334 -0.080903 -1.720153  1.639251 1.64
335 -0.076618 -1.719110  1.642492 1.64
336 -0.075594 -1.721861  1.646267 1.65
337 -0.078365 -1.728637  1.650272 1.65
338 -0.085161 -1.739346  1.654185 1.65
339 -0.095886 -1.753596  1.657710 1.66
340 -0.110147 -1.770751  1.660604 1.66
341 -0.127307 -1.790006  1.662699 1.66
342 -0.146564 -1.810473  1.663910 1.66
343 -0.167027 -1.831259  1.664231 1.66
344 -0.187805 -1.851532  1.663726 1.66
345 -0.208069 -1.870579  1.662511 1.66
346 -0.227106 -1.887839  1.660732 1.66
347 -0.244355 -1.902908  1.658553 1.66
348 -0.259414 -1.915544  1.656129 1.66
349 -0.272043 -1.925642  1.653599 1.65
350 -0.282136 -1.933207  1.651070 1.65
351 -0.289699 -1.938315  1.648616 1.65
352 -0.294808 -1.941074  1.646266 1.65
353 -0.297570 -1.941584  1.644014 1.64
354 -0.298085 -1.939905  1.641819 1.64
355 -0.296411 -1.936035  1.639624 1.64
356 -0.292546 -1.929917  1.637371 1.64
357 -0.286428 -1.921451  1.635023 1.64
358 -0.277957 -1.910547  1.632590 1.63
359 -0.267043 -1.897195  1.630151 1.63
360 -0.253674 -1.881554  1.627880 1.63
361 -0.238010 -1.864057  1.626047 1.63
362 -0.220488 -1.845488  1.625000 1.62
363 -0.201903 -1.826999  1.625096 1.63
364 -0.183415 -1.809991  1.626576 1.63
365 -0.166434 -1.795836  1.629402 1.63
366 -0.152330 -1.785487  1.633157 1.63
367 -0.142041 -1.779123  1.637082 1.64
368 -0.135723 -1.776023  1.640300 1.64
369 -0.132639 -1.774761  1.642122 1.64
370 -0.131361 -1.773644  1.642283 1.64
371 -0.130203 -1.771190  1.640986 1.64
372 -0.127699 -1.766482  1.638782 1.64
373 -0.122943 -1.759322  1.636379 1.64
374 -0.115747 -1.750210  1.634463 1.63
375 -0.106615 -1.740185  1.633570 1.63
376 -0.096590 -1.730589  1.634000 1.63
377 -0.087014 -1.722778  1.635765 1.64
378 -0.079237 -1.717831  1.638594 1.64
379 -0.074331 -1.716327  1.641996 1.64
