#Step   Etot   PotE Ktot  T
289 -0.994595 -2.005332  1.010737 1.01
290 -0.994613 -2.011506  1.016893 1.02
291 -0.994629 -2.017161  1.022533 1.02
292 -0.994641 -2.022052  1.027411 1.03
293 -0.994650 -2.025985  1.031335 1.03
294 -0.994654 -2.028829  1.034174 1.03
295 -0.994655 -2.030515  1.035860 1.04
296 -0.994652 -2.031046  1.036394 1.04
297 -0.994644 -2.030492  1.035849 1.04
298 -0.994632 -2.028997  1.034365 1.03
299 -0.994616 -2.026768  1.032152 1.03
300 -0.994597 -2.024080  1.029484 1.03
301 -0.994575 -2.021258  1.026683 1.03
302 -0.994552 -2.018662  1.024110 1.02
303 -0.994529 -2.016670  1.022141 1.02
304 -0.994509 -2.015645  1.021136 1.02
305 -0.994494 -2.015905  1.021411 1.02
306 -0.994485 -2.017689  1.023203 1.02
307 -0.994484 -2.021132  1.026647 1.03
308 -0.994491 -2.026248  1.031758 1.03
309 -0.994504 -2.032929  1.038426 1.04
310 -0.994521 -2.040959  1.046437 1.05
311 -0.994542 -2.050039  1.055498 1.06
312 -0.994561 -2.059832  1.065271 1.07
313 -0.994578 -2.069995  1.075417 1.08
314 -0.994591 -2.080223  1.085633 1.09
315 -0.994597 -2.090278  1.095682 1.10
316 -0.994596 -2.100010  1.105414 1.11
317 -0.994589 -2.109364  1.114774 1.11
318 -0.994577 -2.118379  1.123801 1.12
319 -0.994562 -2.127170  1.132607 1.13
320 -0.994546 -2.135899  1.141352 1.14
321 -0.994532 -2.144744  1.150213 1.15
322 -0.994521 -2.153863  1.159342 1.16
323 -0.994516 -2.163353  1.168837 1.17
324 -0.994517 -2.173233  1.178716 1.18
325 -0.994525 -2.183425  1.188900 1.19
326 -0.994539 -2.193757  1.199219 1.20
327 -0.994556 -2.203976  1.209421 1.21
328 -0.994575 -2.213777  1.219203 1.22
329 -0.994594 -2.222830  1.228236 1.23
330 -0.994611 -2.230810  1.236199 1.24
331 -0.994625 -2.237427  1.242802 1.24
332 -0.994636 -2.242444  1.247808 1.25
333 -0.994642 -2.245687  1.251045 1.25
334 -0.994643 -2.247056  1.252413 1.25
335 -0.994641 -2.246525  1.251884 1.25
336 -0.994635 -2.244136  1.249501 1.25
337 -0.994627 -2.239991  1.245364 1.25
338 -0.994617 -2.234244  1.239627 1.24
339 -0.994605 -2.227083  1.232478 1.23
340 -0.994594 -2.218719  1.224125 1.22
341 -0.994584 -2.209365  1.214781 1.21
342 -0.994576 -2.199221  1.204645 1.20
343 -0.994570 -2.188466  1.193895 1.19
344 -0.994567 -2.177243  1.182675 1.18
345 -0.994567 -2.165661  1.171094 1.17
346 -0.994568 -2.153795  1.159227 1.16
347 -0.994570 -2.141695  1.147125 1.15
348 -0.994573 -2.129395  1.134822 1.13
349 -0.994575 -2.116925  1.122350 1.12
350 -0.994575 -2.104331  1.109757 1.11
351 -0.994572 -2.091688  1.097116 1.10
352 -0.994565 -2.079115  1.084550 1.08
353 -0.994554 -2.066788  1.072234 1.07
354 -0.994538 -2.054952  1.060414 1.06
355 -0.994518 -2.043912  1.049394 1.05
356 -0.994497 -2.034027  1.039531 1.04
357 -0.994476 -2.025673  1.031197 1.03
358 -0.994459 -2.019207  1.024747 1.02
359 -0.994449 -2.014917  1.020468 1.02
360 -0.994446 -2.012989  1.018542 1.02
361 -0.994452 -2.013477  1.019025 1.02
362 -0.994463 -2.016309  1.021846 1.02
363 -0.994479 -2.021306  1.026827 1.03
364 -0.994496 -2.028209  1.033713 1.03
365 -0.994514 -2.036724  1.042210 1.04
366 -0.994530 -2.046541  1.052010 1.05
367 -0.994545 -2.057361  1.062816 1.06
368 -0.994557 -2.068903  1.074346 1.07
369 -0.994568 -2.080913  1.086345 1.09
370 -0.994578 -2.093156  1.098578 1.10
371 -0.994586 -2.105416  1.110830 1.11
372 -0.994595 -2.117490  1.122895 1.12
373 -0.994603 -2.129179  1.134576 1.13
374 -0.994612 -2.140288  1.145676 1.15
375 -0.994621 -2.150621  1.156000 1.16
376 -0.994629 -2.159985  1.165355 1.17
377 -0.994637 -2.168195  1.173558 1.17
378 -0.994644 -2.175084  1.180440 1.18
379 -0.994649 -2.180511  1.185862 1.19
380 -0.994651 -2.184367  1.189716 1.19
381 -0.994652 -2.186584  1.191933 1.19
382 -0.994649 -2.187140  1.192491 1.19
383 -0.994644 -2.186057  1.191413 1.19
384 -0.994636 -2.183405  1.188769 1.19
385 -0.994626 -2.179298  1.184672 1.18
386 -0.994614 -2.173892  1.179278 1.18
387 -0.994600 -2.167378  1.172778 1.17
388 -0.994585 -2.159978  1.165393 1.17
389 -0.994569 -2.151937  1.157368 1.16
390 -0.994552 -2.143518  1.148966 1.15
391 -0.994535 -2.134994  1.140459 1.14
392 -0.994518 -2.126641  1.132122 1.13
393 -0.994502 -2.118732  1.124230 1.12
394 -0.994487 -2.111530  1.117042 1.12
395 -0.994474 -2.105278  1.110803 1.11
396 -0.994463 -2.100192  1.105729 1.11
397 -0.994454 -2.096456  1.102002 1.10
398 -0.994449 -2.094208  1.099759 1.10
399 -0.994447 -2.093536  1.099089 1.10
400 -0.994448 -2.094477  1.100029 1.10
401 -0.994453 -2.097011  1.102558 1.10
402 -0.994461 -2.101064  1.106603 1.11
403 -0.994471 -2.106518  1.112047 1.11
404 -0.994482 -2.113217  1.118734 1.12
405 -0.994495 -2.120977  1.126483 1.13
406 -0.994507 -2.129603  1.135096 1.14
407 -0.994519 -2.138890  1.144371 1.14
408 -0.994531 -2.148642  1.154111 1.15
409 -0.994541 -2.158666  1.164125 1.16
410 -0.994551 -2.168786  1.174235 1.17
411 -0.994560 -2.178835  1.184276 1.18
412 -0.994567 -2.188665  1.194097 1.19
413 -0.994574 -2.198138  1.203564 1.20
414 -0.994579 -2.207136  1.212557 1.21
415 -0.994583 -2.215559  1.220975 1.22
416 -0.994586 -2.223324  1.228738 1.23
417 -0.994588 -2.230371  1.235784 1.24
418 -0.994588 -2.236658  1.242069 1.24
419 -0.994589 -2.242156  1.247567 1.25
420 -0.994589 -2.246846  1.252258 1.25
421 -0.994589 -2.250713  1.256123 1.26
422 -0.994591 -2.253731  1.259140 1.26
423 -0.994594 -2.255866  1.261272 1.26
424 -0.994598 -2.257069  1.262471 1.26
425 -0.994603 -2.257277  1.262674 1.26
426 -0.994607 -2.256420  1.261813 1.26
427 -0.994611 -2.254431  1.259820 1.26
428 -0.994614 -2.251257  1.256643 1.26
429 -0.994615 -2.246865  1.252250 1.25
430 -0.994613 -2.241259  1.246646 1.25
431 -0.994609 -2.234479  1.239870 1.24
432 -0.994603 -2.226602  1.231999 1.23
433 -0.994596 -2.217740  1.223144 1.22
434 -0.994588 -2.208025  1.213437 1.21
435 -0.994580 -2.197605  1.203025 1.20
436 -0.994573 -2.186627  1.192054 1.19
437 -0.994568 -2.175229  1.180661 1.18
438 -0.994564 -2.163531  1.168967 1.17
439 -0.994562 -2.151633  1.157070 1.16
440 -0.994562 -2.139612  1.145050 1.15
441 -0.994562 -2.127527  1.132964 1.13
442 -0.994563 -2.115424  1.120861 1.12
443 -0.994564 -2.103346  1.108783 1.11
444 -0.994563 -2.091343  1.096780 1.10
445 -0.994560 -2.079481  1.084921 1.08
446 -0.994554 -2.067862  1.073308 1.07
447 -0.994545 -2.056628  1.062082 1.06
448 -0.994533 -2.045966  1.051434 1.05
449 -0.994518 -2.036112  1.041594 1.04
450 -0.994502 -2.027327  1.032825 1.03
451 -0.994488 -2.019880  1.025392 1.03
452 -0.994477 -2.014012  1.019535 1.02
453 -0.994472 -2.009899  1.015427 1.02
454 -0.994474 -2.007623  1.013149 1.01
455 -0.994483 -2.007155  1.012672 1.01
456 -0.994498 -2.008351  1.013853 1.01
457 -0.994517 -2.010967  1.016450 1.02
458 -0.994539 -2.014688  1.020148 1.02
459 -0.994562 -2.019148  1.024586 1.02
460 -0.994585 -2.023964  1.029379 1.03
461 -0.994606 -2.028754  1.034148 1.03
462 -0.994626 -2.033152  1.038526 1.04
463 -0.994644 -2.036821  1.042178 1.04
464 -0.994659 -2.039458  1.044799 1.04
465 -0.994670 -2.040806  1.046136 1.05
466 -0.994679 -2.040664  1.045985 1.05
467 -0.994682 -2.038895  1.044213 1.04
468 -0.994681 -2.035439  1.040758 1.04
469 -0.994675 -2.030318  1.035643 1.04
470 -0.994664 -2.023641  1.028977 1.03
471 -0.994648 -2.015599  1.020951 1.02
472 -0.994630 -2.006460  1.011830 1.01
473 -0.994609 -1.996548  1.001939 1.00
474 -0.994587 -1.986232  0.991645 0.99
475 -0.994565 -1.975902  0.981337 0.98
476 -0.994543 -1.965960  0.971416 0.97
477 -0.994521 -1.956811  0.962290 0.96
478 -0.994498 -1.948866  0.954368 0.95
479 -0.994474 -1.942545  0.948071 0.95
480 -0.994450 -1.938278  0.943828 0.94
481 -0.994427 -1.936489  0.942062 0.94
482 -0.994410 -1.937557  0.943148 0.94
483 -0.994403 -1.941755  0.947352 0.95
484 -0.994410 -1.949178  0.954768 0.95
485 -0.994432 -1.959693  0.965260 0.97
486 -0.994466 -1.972928  0.978462 0.98
487 -0.994508 -1.988312  0.993804 0.99
488 -0.994550 -2.005149  1.010599 1.01
489 -0.994589 -2.022711  1.028122 1.03
490 -0.994620 -2.040317  1.045696 1.05
491 -0.994644 -2.057383  1.062740 1.06
492 -0.994659 -2.073447  1.078788 1.08
493 -0.994669 -2.088158  1.093489 1.09
494 -0.994674 -2.101267  1.106593 1.11
495 -0.994675 -2.112602  1.117926 1.12
496 -0.994675 -2.122051  1.127376 1.13
497 -0.994673 -2.129545  1.134872 1.13
498 -0.994671 -2.135049  1.140378 1.14
499 -0.994667 -2.138552  1.143884 1.14
500 -0.994663 -2.140068  1.145405 1.15
501 -0.994658 -2.139636  1.144978 1.14
502 -0.994652 -2.137319  1.142668 1.14
503 -0.994643 -2.133213  1.138570 1.14
504 -0.994633 -2.127446  1.132813 1.13
505 -0.994622 -2.120179  1.125557 1.13
506 -0.994610 -2.111602  1.116992 1.12
507 -0.994597 -2.101926  1.107329 1.11
508 -0.994586 -2.091367  1.096781 1.10
509 -0.994577 -2.080130  1.085553 1.09
510 -0.994571 -2.068390  1.073819 1.07
511 -0.994568 -2.056284  1.061716 1.06
512 -0.994568 -2.043902  1.049334 1.05
513 -0.994570 -2.031297  1.036727 1.04
514 -0.994573 -2.018493  1.023921 1.02
515 -0.994574 -2.005512  1.010938 1.01
516 -0.994572 -1.992393  0.997821 1.00
517 -0.994567 -1.979223  0.984656 0.98
518 -0.994556 -1.966149  0.971593 0.97
519 -0.994539 -1.953397  0.958858 0.96
520 -0.994519 -1.941271  0.946752 0.95
521 -0.994495 -1.930136  0.935641 0.94
522 -0.994471 -1.920393  0.925922 0.93
523 -0.994450 -1.912440  0.917990 0.92
524 -0.994435 -1.906621  0.912186 0.91
525 -0.994427 -1.903186  0.908759 0.91
526 -0.994427 -1.902265  0.907838 0.91
527 -0.994434 -1.903857  0.909422 0.91
528 -0.994446 -1.907845  0.913399 0.91
529 -0.994461 -1.914028  0.919567 0.92
530 -0.994478 -1.922150  0.927672 0.93
531 -0.994494 -1.931925  0.937431 0.94
532 -0.994510 -1.943059  0.948549 0.95
533 -0.994526 -1.955255  0.960729 0.96
534 -0.994542 -1.968213  0.973671 0.97
535 -0.994558 -1.981635  0.987077 0.99
536 -0.994573 -1.995228  1.000655 1.00
537 -0.994586 -2.008712  1.014126 1.01
538 -0.994597 -2.021835  1.027238 1.03
539 -0.994604 -2.034384  1.039780 1.04
540 -0.994608 -2.046197  1.051589 1.05
541 -0.994608 -2.057172  1.062565 1.06
542 -0.994604 -2.067268  1.072664 1.07
543 -0.994597 -2.076500  1.081903 1.08
