#Step   Etot   PotE Ktot  T
436 -1.962326 -2.480301  0.517976 0.52
437 -1.962325 -2.480996  0.518671 0.52
438 -1.962324 -2.481486  0.519162 0.52
439 -1.962322 -2.481789  0.519466 0.52
440 -1.962321 -2.481924  0.519603 0.52
441 -1.962319 -2.481917  0.519598 0.52
442 -1.962317 -2.481796  0.519479 0.52
443 -1.962315 -2.481589  0.519274 0.52
444 -1.962314 -2.481323  0.519009 0.52
445 -1.962312 -2.481023  0.518711 0.52
446 -1.962311 -2.480710  0.518399 0.52
447 -1.962310 -2.480404  0.518093 0.52
448 -1.962310 -2.480116  0.517806 0.52
449 -1.962309 -2.479857  0.517548 0.52
450 -1.962309 -2.479633  0.517324 0.52
451 -1.962309 -2.479446  0.517138 0.52
452 -1.962309 -2.479299  0.516990 0.52
453 -1.962309 -2.479189  0.516880 0.52
454 -1.962309 -2.479117  0.516808 0.52
455 -1.962308 -2.479081  0.516772 0.52
456 -1.962308 -2.479080  0.516772 0.52
457 -1.962308 -2.479116  0.516808 0.52
458 -1.962308 -2.479187  0.516879 0.52
459 -1.962307 -2.479293  0.516986 0.52
460 -1.962307 -2.479435  0.517127 0.52
461 -1.962307 -2.479608  0.517301 0.52
462 -1.962307 -2.479809  0.517501 0.52
463 -1.962308 -2.480028  0.517720 0.52
464 -1.962308 -2.480257  0.517948 0.52
465 -1.962309 -2.480480  0.518170 0.52
466 -1.962310 -2.480681  0.518371 0.52
467 -1.962311 -2.480844  0.518533 0.52
468 -1.962312 -2.480950  0.518637 0.52
469 -1.962313 -2.480980  0.518668 0.52
470 -1.962313 -2.480922  0.518609 0.52
471 -1.962314 -2.480765  0.518451 0.52
472 -1.962313 -2.480504  0.518191 0.52
473 -1.962312 -2.480143  0.517831 0.52
474 -1.962311 -2.479694  0.517383 0.52
475 -1.962309 -2.479179  0.516870 0.52
476 -1.962306 -2.478629  0.516323 0.52
477 -1.962303 -2.478086  0.515783 0.52
478 -1.962299 -2.477599  0.515300 0.52
