#Step   Etot   PotE Ktot  T
187 4.333029 -2.638104  6.971133 6.97
188 4.333029 -2.638104  6.971133 6.97
189 4.333029 -2.638104  6.971133 6.97
190 4.333029 -2.638104  6.971133 6.97
191 4.333029 -2.638104  6.971133 6.97
192 4.333029 -2.638104  6.971133 6.97
193 4.333029 -2.638104  6.971133 6.97
194 4.333029 -2.638104  6.971133 6.97
195 4.333029 -2.638104  6.971133 6.97
196 4.333029 -2.638104  6.971133 6.97
197 4.333029 -2.638104  6.971133 6.97
198 4.333029 -2.638104  6.971133 6.97
199 4.333029 -2.638104  6.971133 6.97
200 4.333029 -2.638104  6.971133 6.97
201 4.333029 -2.638104  6.971133 6.97
202 4.333029 -2.638104  6.971133 6.97
203 4.333029 -2.638104  6.971133 6.97
204 4.333029 -2.638104  6.971133 6.97
205 4.333029 -2.638104  6.971133 6.97
206 4.333029 -2.638104  6.971133 6.97
207 4.333029 -2.638104  6.971133 6.97
208 4.333029 -2.638104  6.971133 6.97
209 4.333029 -2.638104  6.971133 6.97
210 4.333029 -2.638104  6.971133 6.97
211 4.333029 -2.638104  6.971133 6.97
212 4.333029 -2.638104  6.971133 6.97
213 4.333029 -2.638104  6.971133 6.97
214 4.333029 -2.638104  6.971133 6.97
215 4.333029 -2.638104  6.971133 6.97
216 4.333029 -2.638104  6.971133 6.97
217 4.333029 -2.638104  6.971133 6.97
218 4.333029 -2.638104  6.971133 6.97
219 4.333029 -2.638104  6.971133 6.97
220 4.333029 -2.638104  6.971133 6.97
221 4.333029 -2.638104  6.971133 6.97
222 4.333029 -2.638104  6.971133 6.97
223 4.333029 -2.638104  6.971133 6.97
224 4.333029 -2.638104  6.971133 6.97
225 4.333029 -2.638104  6.971133 6.97
226 4.333029 -2.638104  6.971133 6.97
227 4.333029 -2.638104  6.971133 6.97
228 4.333029 -2.638104  6.971133 6.97
229 4.333029 -2.638104  6.971133 6.97
230 4.333029 -2.638104  6.971133 6.97
231 4.333029 -2.638104  6.971133 6.97
232 4.333029 -2.638104  6.971133 6.97
233 4.333029 -2.638104  6.971133 6.97
234 4.333029 -2.638104  6.971133 6.97
235 4.333029 -2.638104  6.971133 6.97
236 4.333029 -2.638104  6.971133 6.97
237 4.333029 -2.638104  6.971133 6.97
238 4.333029 -2.638104  6.971133 6.97
239 4.333029 -2.638104  6.971133 6.97
240 4.333029 -2.638104  6.971133 6.97
241 4.333029 -2.638104  6.971133 6.97
242 4.333029 -2.638104  6.971133 6.97
243 4.333029 -2.638104  6.971133 6.97
244 4.333029 -2.638104  6.971133 6.97
245 4.333029 -2.638104  6.971133 6.97
246 4.333029 -2.638104  6.971133 6.97
247 4.333029 -2.638104  6.971133 6.97
248 4.333029 -2.638104  6.971133 6.97
249 4.333029 -2.638104  6.971133 6.97
250 4.333029 -2.638104  6.971133 6.97
251 4.333029 -2.638104  6.971133 6.97
252 4.333029 -2.638104  6.971133 6.97
253 4.333029 -2.638104  6.971133 6.97
254 4.333029 -2.638104  6.971133 6.97
255 4.333029 -2.638104  6.971133 6.97
256 4.333029 -2.638104  6.971133 6.97
257 4.333029 -2.638104  6.971133 6.97
258 4.333029 -2.638104  6.971133 6.97
259 4.333029 -2.638104  6.971133 6.97
260 4.333029 -2.638104  6.971133 6.97
261 4.333029 -2.638104  6.971133 6.97
262 4.333029 -2.638104  6.971133 6.97
263 4.333029 -2.638104  6.971133 6.97
264 4.333029 -2.638104  6.971133 6.97
265 4.333029 -2.638104  6.971133 6.97
266 4.333029 -2.638104  6.971133 6.97
267 4.333029 -2.638104  6.971133 6.97
268 4.333029 -2.638104  6.971133 6.97
269 4.333029 -2.638104  6.971133 6.97
270 4.333029 -2.638104  6.971133 6.97
271 4.333029 -2.638104  6.971133 6.97
272 4.333029 -2.638104  6.971133 6.97
273 4.333029 -2.638104  6.971133 6.97
274 4.333029 -2.638104  6.971133 6.97
275 4.333029 -2.638104  6.971133 6.97
276 4.333029 -2.638104  6.971133 6.97
277 4.333029 -2.638104  6.971133 6.97
278 4.333029 -2.638104  6.971133 6.97
279 4.333029 -2.638104  6.971133 6.97
280 4.333029 -2.638104  6.971133 6.97
281 4.333029 -2.638104  6.971133 6.97
282 4.333029 -2.638104  6.971133 6.97
283 4.333029 -2.638104  6.971133 6.97
284 4.333029 -2.638104  6.971133 6.97
285 4.333029 -2.638104  6.971133 6.97
286 4.333029 -2.638104  6.971133 6.97
287 4.333029 -2.638104  6.971133 6.97
288 4.333029 -2.638104  6.971133 6.97
289 4.333029 -2.638104  6.971133 6.97
290 4.333029 -2.638104  6.971133 6.97
291 4.333029 -2.638104  6.971133 6.97
292 4.333029 -2.638104  6.971133 6.97
293 4.333029 -2.638104  6.971133 6.97
294 4.333029 -2.638104  6.971133 6.97
295 4.333029 -2.638104  6.971133 6.97
296 4.333029 -2.638104  6.971133 6.97
297 4.333029 -2.638104  6.971133 6.97
298 4.333029 -2.638104  6.971133 6.97
299 4.333029 -2.638104  6.971133 6.97
300 4.333029 -2.638104  6.971133 6.97
301 4.333029 -2.638104  6.971133 6.97
302 4.333029 -2.638104  6.971133 6.97
303 4.333029 -2.638104  6.971133 6.97
304 4.333029 -2.638104  6.971133 6.97
305 4.333029 -2.638104  6.971133 6.97
306 4.333029 -2.638104  6.971133 6.97
307 4.333029 -2.638104  6.971133 6.97
308 4.333029 -2.638104  6.971133 6.97
309 4.333029 -2.638104  6.971133 6.97
310 4.333029 -2.638104  6.971133 6.97
311 4.333029 -2.638104  6.971133 6.97
312 4.333029 -2.638104  6.971133 6.97
313 4.333029 -2.638104  6.971133 6.97
314 4.333029 -2.638104  6.971133 6.97
315 4.333029 -2.638104  6.971133 6.97
316 4.333029 -2.638104  6.971133 6.97
317 4.333029 -2.638104  6.971133 6.97
318 4.333029 -2.638104  6.971133 6.97
319 4.333029 -2.638104  6.971133 6.97
320 4.333029 -2.638104  6.971133 6.97
321 4.333029 -2.638104  6.971133 6.97
322 4.333029 -2.638104  6.971133 6.97
323 4.333029 -2.638104  6.971133 6.97
324 4.333029 -2.638104  6.971133 6.97
325 4.333029 -2.638104  6.971133 6.97
326 4.333029 -2.638104  6.971133 6.97
327 4.333029 -2.638104  6.971133 6.97
328 4.333029 -2.638104  6.971133 6.97
329 4.333029 -2.638104  6.971133 6.97
330 4.333029 -2.638104  6.971133 6.97
331 4.333029 -2.638104  6.971133 6.97
332 4.333029 -2.638104  6.971133 6.97
333 4.333029 -2.638104  6.971133 6.97
334 4.333029 -2.638104  6.971133 6.97
335 4.333029 -2.638104  6.971133 6.97
336 4.333029 -2.638104  6.971133 6.97
337 4.333029 -2.638104  6.971133 6.97
338 4.333029 -2.638104  6.971133 6.97
339 4.333029 -2.638104  6.971133 6.97
340 4.333029 -2.638104  6.971133 6.97
341 4.333029 -2.638104  6.971133 6.97
342 4.333029 -2.638104  6.971133 6.97
343 4.333029 -2.638104  6.971133 6.97
344 4.333029 -2.638104  6.971133 6.97
345 4.333029 -2.638104  6.971133 6.97
346 4.333029 -2.638104  6.971133 6.97
347 4.333029 -2.638104  6.971133 6.97
348 4.333029 -2.638104  6.971133 6.97
349 4.333029 -2.638104  6.971133 6.97
350 4.333029 -2.638104  6.971133 6.97
351 4.333029 -2.638104  6.971133 6.97
352 4.333029 -2.638104  6.971133 6.97
353 4.333029 -2.638104  6.971133 6.97
354 4.333029 -2.638104  6.971133 6.97
355 4.333029 -2.638104  6.971133 6.97
356 4.333029 -2.638104  6.971133 6.97
357 4.333029 -2.638104  6.971133 6.97
358 4.333029 -2.638104  6.971133 6.97
359 4.333029 -2.638104  6.971133 6.97
360 4.333029 -2.638104  6.971133 6.97
361 4.333029 -2.638104  6.971133 6.97
362 4.333029 -2.638104  6.971133 6.97
363 4.333029 -2.638104  6.971133 6.97
364 4.333029 -2.638104  6.971133 6.97
365 4.333029 -2.638104  6.971133 6.97
366 4.333029 -2.638104  6.971133 6.97
367 4.333029 -2.638104  6.971133 6.97
368 4.333029 -2.638104  6.971133 6.97
369 4.333029 -2.638104  6.971133 6.97
370 4.333029 -2.638104  6.971133 6.97
371 4.333029 -2.638104  6.971133 6.97
372 4.333029 -2.638104  6.971133 6.97
373 4.333029 -2.638104  6.971133 6.97
374 4.333029 -2.638104  6.971133 6.97
375 4.333029 -2.638104  6.971133 6.97
376 4.333029 -2.638104  6.971133 6.97
377 4.333029 -2.638104  6.971133 6.97
378 4.333029 -2.638104  6.971133 6.97
379 4.333029 -2.638104  6.971133 6.97
380 4.333029 -2.638104  6.971133 6.97
381 4.333029 -2.638104  6.971133 6.97
382 4.333029 -2.638104  6.971133 6.97
383 4.333029 -2.638104  6.971133 6.97
384 4.333029 -2.638104  6.971133 6.97
385 4.333029 -2.638104  6.971133 6.97
386 4.333029 -2.638104  6.971133 6.97
387 4.333029 -2.638104  6.971133 6.97
388 4.333029 -2.638104  6.971133 6.97
389 4.333029 -2.638104  6.971133 6.97
390 4.333029 -2.638104  6.971133 6.97
391 4.333029 -2.638104  6.971133 6.97
392 4.333029 -2.638104  6.971133 6.97
393 4.333029 -2.638104  6.971133 6.97
394 4.333029 -2.638104  6.971133 6.97
395 4.333029 -2.638104  6.971133 6.97
396 4.333029 -2.638104  6.971133 6.97
397 4.333029 -2.638104  6.971133 6.97
398 4.333029 -2.638104  6.971133 6.97
399 4.333029 -2.638104  6.971133 6.97
400 4.333029 -2.638104  6.971133 6.97
401 4.333029 -2.638104  6.971133 6.97
402 4.333029 -2.638104  6.971133 6.97
403 4.333029 -2.638104  6.971133 6.97
404 4.333029 -2.638104  6.971133 6.97
405 4.333029 -2.638104  6.971133 6.97
406 4.333029 -2.638104  6.971133 6.97
407 4.333029 -2.638104  6.971133 6.97
408 4.333029 -2.638104  6.971133 6.97
409 4.333029 -2.638104  6.971133 6.97
410 4.333029 -2.638104  6.971133 6.97
411 4.333029 -2.638104  6.971133 6.97
412 4.333029 -2.638104  6.971133 6.97
413 4.333029 -2.638104  6.971133 6.97
414 4.333029 -2.638104  6.971133 6.97
415 4.333029 -2.638104  6.971133 6.97
416 4.333029 -2.638104  6.971133 6.97
417 4.333029 -2.638104  6.971133 6.97
418 4.333029 -2.638104  6.971133 6.97
419 4.333029 -2.638104  6.971133 6.97
